Team;Elo Rating;Elo Ranking;FIFA Ranking
Brazil;2142;1;2
Germany;2077;2;1
Spain;2044;3;8
France;1987;4;7
Argentina;1986;5;5
Portugal;1970;6;4
England;1948;7;13
Belgium;1939;8;3
Colombia;1928;9;16
Peru;1915;10;11
Netherlands;1908;11;19
Uruguay;1894;12;17
Italy;1891;13;20
Switzerland;1890;14;6
Chile;1869;15;9
Denmark;1856;16;12
Croatia;1853;17;18
Mexico;1850;18;15
Poland;1831;19;10
Sweden;1795;20;22
Iran;1789;21;36
Serbia;1777;22;35
Wales;1777;23;21
Iceland;1764;24;23
United States;1764;25;24
Slovakia;1752;26;29
Senegal;1750;27;28
Ukraine;1750;28;30
Ecuador;1747;29;63
Bosnia and Herzegovina;1745;30;41
Costa Rica;1744;31;25
Australia;1742;32;40
Austria;1742;33;26
Venezuela;1739;34;39
Morocco;1733;35;42
Republic of Ireland;1729;36;31
Paraguay;1728;37;32
Turkey;1728;38;37
Romania;1727;39;32
South Korea;1714;40;61
Czech Republic;1713;41;45
Scotland;1709;42;34
Japan;1684;43;60
Nigeria;1681;44;47
Russia;1678;45;66
Northern Ireland;1676;46;27
Bolivia;1661;47;57
Panama;1659;48;55
Tunisia;1657;49;14
Egypt;1646;50;46
Greece;1646;51;44
Cameroon;1645;52;50
Ghana;1645;53;50
Norway;1640;54;48
Slovenia;1626;55;65
Bulgaria;1615;56;53
Syria;1606;57;76
Finland;1605;58;62
Ivory Coast;1602;59;69
Uzbekistan;1599;60;88
Burkina Faso;1597;61;54
Montenegro;1597;62;43
Saudi Arabia;1591;63;67
Honduras;1590;64;59
DR Congo;1589;65;38
Hungary;1576;66;49
Jamaica;1574;67;54
South Africa;1565;68;72
Albania;1560;69;56
Iraq;1550;70;91
Oman;1539;71;87
Canada;1534;72;80
China PR;1534;73;73
United Arab Emirates;1532;74;81
Israel;1527;75;98
Belarus;1522;76;93
Mali;1519;77;67
Macedonia;1518;78;77
Guatemala;1511;79;141
Algeria;1508;80;64
New Zealand;1503;81;133
Georgia;1497;82;95
Haiti;1494;83;108
Estonia;1497;84;93
Qatar;1486;85;101
Libya;1476;86;100
El Salvador;1471;87;85
Jordan;1471;88;118
Zimbabwe;1469;89;113
Lebanon;1459;90;82
North Korea;1457;91;110
Northern Cyprus[a];1456;92;
Guinea;1455;93;70
Armenia;1454;94;98
Zambia;1445;95;78
Gabon;1439;96;90
Martinique[b];1439;97;
Cape Verde;1435;98;58
Kosovo;1431;99;152
Kuwait[c];1430;100;160
